/raid/home/automatants/peytevin_pau/Can-t-Stop/env/lib/python3.10/site-packages/gymnasium/envs/registration.py:487: UserWarning: [33mWARN: The environment creator metadata doesn't include `render_modes`, contains: ['render.modes'][0m
  logger.warn(
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1755550275/ppo_cant_stop_0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 31.7     |
|    ep_rew_mean     | 17       |
| time/              |          |
|    fps             | 544      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 2048     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 30.5       |
|    ep_rew_mean          | 18.7       |
| time/                   |            |
|    fps                  | 500        |
|    iterations           | 2          |
|    time_elapsed         | 8          |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.00871857 |
|    clip_fraction        | 0.0763     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.74      |
|    explained_variance   | -0.00644   |
|    learning_rate        | 0.0003     |
|    loss                 | 198        |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0182    |
|    value_loss           | 404        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.7        |
|    ep_rew_mean          | 21.4        |
| time/                   |             |
|    fps                  | 489         |
|    iterations           | 3           |
|    time_elapsed         | 12          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.006517901 |
|    clip_fraction        | 0.048       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | 0.0298      |
|    learning_rate        | 0.0003      |
|    loss                 | 127         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0177     |
|    value_loss           | 320         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.9         |
|    ep_rew_mean          | 15.1         |
| time/                   |              |
|    fps                  | 483          |
|    iterations           | 4            |
|    time_elapsed         | 16           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0066407886 |
|    clip_fraction        | 0.0378       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.74        |
|    explained_variance   | 0.0346       |
|    learning_rate        | 0.0003       |
|    loss                 | 191          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0159      |
|    value_loss           | 300          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 29.1         |
|    ep_rew_mean          | 17.2         |
| time/                   |              |
|    fps                  | 479          |
|    iterations           | 5            |
|    time_elapsed         | 21           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0066180956 |
|    clip_fraction        | 0.0321       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.74        |
|    explained_variance   | 0.0664       |
|    learning_rate        | 0.0003       |
|    loss                 | 131          |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0144      |
|    value_loss           | 269          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.5        |
|    ep_rew_mean          | 19          |
| time/                   |             |
|    fps                  | 476         |
|    iterations           | 6           |
|    time_elapsed         | 25          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.005450302 |
|    clip_fraction        | 0.015       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.73       |
|    explained_variance   | 0.0549      |
|    learning_rate        | 0.0003      |
|    loss                 | 121         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 268         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 31.2       |
|    ep_rew_mean          | 20.8       |
| time/                   |            |
|    fps                  | 475        |
|    iterations           | 7          |
|    time_elapsed         | 30         |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.00602067 |
|    clip_fraction        | 0.031      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.71      |
|    explained_variance   | 0.172      |
|    learning_rate        | 0.0003     |
|    loss                 | 121        |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.016     |
|    value_loss           | 220        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 31.6         |
|    ep_rew_mean          | 21.1         |
| time/                   |              |
|    fps                  | 474          |
|    iterations           | 8            |
|    time_elapsed         | 34           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0049649463 |
|    clip_fraction        | 0.00889      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.7         |
|    explained_variance   | 0.103        |
|    learning_rate        | 0.0003       |
|    loss                 | 178          |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.0107      |
|    value_loss           | 339          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.3        |
|    ep_rew_mean          | 24.1        |
| time/                   |             |
|    fps                  | 474         |
|    iterations           | 9           |
|    time_elapsed         | 38          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.008634061 |
|    clip_fraction        | 0.0651      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.183       |
|    learning_rate        | 0.0003      |
|    loss                 | 130         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 365         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.2        |
|    ep_rew_mean          | 21.2        |
| time/                   |             |
|    fps                  | 472         |
|    iterations           | 10          |
|    time_elapsed         | 43          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.006721976 |
|    clip_fraction        | 0.0242      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.137       |
|    learning_rate        | 0.0003      |
|    loss                 | 107         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0161     |
|    value_loss           | 297         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.6        |
|    ep_rew_mean          | 20.2        |
| time/                   |             |
|    fps                  | 472         |
|    iterations           | 11          |
|    time_elapsed         | 47          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.004812211 |
|    clip_fraction        | 0.0219      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.178       |
|    learning_rate        | 0.0003      |
|    loss                 | 143         |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0152     |
|    value_loss           | 279         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.9        |
|    ep_rew_mean          | 21          |
| time/                   |             |
|    fps                  | 470         |
